기업 이름,시가총액(억),PER,5년 평균 PER,업종 평균 PER,현금배당수익률,유동자산(억),유동부채(억),현금 및 현금성 자산(억)
현대위아,"17,378억원",27.88,27.82,13.50,1.10%,"41,564.9","21,262.8","4,350.6"
아이에스동서,"17,145억원",16.33,10.21,8.41,2.16%,"21,247.3","14,997.1","3,305.3"
아시아나항공,"16,891억원",N/A,3.7,N/A,N/A,"25,653.0","52,392.5","7,205.4"
코오롱인더,"17,034억원",9.77,21.33,8.63,2.10%,"22,132.2","22,323.7","2,405.5"
동원시스템즈,"16,725억원",38.49,20.52,14.78,1.05%,"6,385.0","5,148.7",740.3
오뚜기,"16,322억원",12.61,18.03,11.87,1.80%,"10,280.6","7,013.3","2,222.8"
롯데칠성,"16,841억원",13.26,11.05,22.59,1.65%,"9,945.0","9,709.7","3,845.8"
JB금융지주,"16,586억원",3.47,4.3,5.82,4.44%,"27,810.9", ,
LS,"16,841억원",6.06,19.38,19.54,2.77%,"74,855.1","51,739.3","12,725.5"
롯데렌탈,"16,174억원",11.98,10.35,12.38,2.04%,"9,699.1","22,133.3","1,469.0"
일진하이솔루스,"16,323억원",158.36,111.15,13.50,N/A,N/A,N/A,N/A
LIG넥스원,"15,796억원",15.04,106.64,30.50,1.67%,"14,859.3","14,811.5",745.4
동국제강,"15,794억원",2.87,82.13,4.11,2.42%,"26,827.7","31,192.0","4,052.5"
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DGB금융지주,"15,764억원",3.33,4.54,5.82,4.18%,"42,965.9",63.8,
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
현대엘리베이,"15,510억원",13.71,88.45,18.92,2.11%,"11,314.9","10,824.1","3,618.8"
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
한일시멘트,"14,822억원",18.85,9.96,23.68,2.52%,N/A,N/A,N/A
케이카,"15,099억원",31.26,25.63,155.43,2.39%,N/A,N/A,N/A
ESR켄달스퀘어리츠,"14,618억원",53.06,110.69,19.39,1.91%,N/A,N/A,N/A
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
롯데리츠,"14,092억원",76.56,68.44,19.39,2.74%,N/A,N/A,N/A
NHN,"13,807억원",11.82,56.33,38.71,N/A,"13,599.4","7,197.0","5,964.0"
대덕전자,"13,787억원",22.80,13.37,20.84,1.08%,N/A,N/A,N/A
더존비즈온,"13,915억원",26.83,42.15,48.30,0.98%,"2,250.6","3,853.7",413.4
한국앤컴퍼니,"13,766억원",6.95,7.88,13.50,4.14%,"6,303.4","2,420.3",762.2
PI첨단소재,"13,509억원",21.11,35.91,8.63,2.37%,N/A,N/A,N/A
티와이홀딩스,"13,471억원",7.59,8.75,8.41,N/A,N/A,N/A,N/A
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LX인터내셔널,"13,488억원",3.85,11.01,6.03,6.61%,"43,765.5","34,309.5","8,418.8"
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LS ELECTRIC,"13,290억원",15.68,17.5,19.54,2.26%,"18,877.5","8,453.0","7,016.0"
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
현대두산인프라코어,"12,893억원",2.86,7.12,18.92,N/A,"32,398.4","27,687.7","5,453.8"
롯데관광개발,"12,910억원",N/A,146.77,N/A,N/A,914.8,"2,404.5",606.9
DL,"12,909억원",1.48,5.13,8.63,3.08%,"25,127.3","14,609.3","17,561.9"
