기업 이름,시가총액(억),PER,5년 평균 PER,업종 평균 PER,현금배당수익률,유동자산(억),유동부채(억),현금 및 현금성 자산(억),순운전자본 + 현금,시가총액,염가 여부,염가 비율
아이에스동서,"17,145억원",16.33,10.21,8.41,2.16%,"21,247.30","14,997.10","3,305.30","9,555.50","17,145",FALSE,44.27%
아시아나항공,"16,891억원",N/A,3.7,N/A,N/A,"25,653.00","52,392.50","7,205.40","-19,534.10","16,891",FALSE,
코오롱인더,"17,034억원",9.77,21.33,8.63,2.10%,"22,132.20","22,323.70","2,405.50","2,214.00","17,034",FALSE,87.00%
동원시스템즈,"16,725억원",38.49,20.52,14.78,1.05%,"6,385.00","5,148.70",740.3,"1,976.60","16,725",FALSE,88.18%
오뚜기,"16,322억원",12.61,18.03,11.87,1.80%,"10,280.60","7,013.30","2,222.80","5,490.10","16,322",FALSE,66.36%
롯데칠성,"16,841억원",13.26,11.05,22.59,1.65%,"9,945.00","9,709.70","3,845.80","4,081.10","16,841",FALSE,75.77%
JB금융지주,"16,586억원",3.47,4.3,5.82,4.44%,"27,810.90", ,,#VALUE!,"16,586",#VALUE!,
LS,"16,841억원",6.06,19.38,19.54,2.77%,"74,855.10","51,739.30","12,725.50","35,841.30","16,841",TRUE,-112.82%
롯데렌탈,"16,174억원",11.98,10.35,12.38,2.04%,"9,699.10","22,133.30","1,469.00","-10,965.20","16,174",FALSE,167.80%
일진하이솔루스,"16,323억원",158.36,111.15,13.5,N/A,N/A,N/A,N/A,#VALUE!,"16,323",#VALUE!,
LIG넥스원,"15,796억원",15.04,106.64,30.5,1.67%,"14,859.30","14,811.50",745.4,793.20,"15,796",FALSE,94.98%
동국제강,"15,794억원",2.87,82.13,4.11,2.42%,"26,827.70","31,192.00","4,052.50",-311.80,"15,794",FALSE,101.97%
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
DGB금융지주,"15,764억원",3.33,4.54,5.82,4.18%,"42,965.90",63.8,,"42,902.10","15,764",FALSE,
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
현대엘리베이,"15,510억원",13.71,88.45,18.92,2.11%,"11,314.90","10,824.10","3,618.80","4,109.60","15,510",FALSE,73.50%
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
한일시멘트,"14,822억원",18.85,9.96,23.68,2.52%,N/A,N/A,N/A,#VALUE!,"14,822",#VALUE!,
케이카,"15,099억원",31.26,25.63,155.43,2.39%,N/A,N/A,N/A,#VALUE!,"15,099",#VALUE!,
ESR켄달스퀘어리츠,"14,618억원",53.06,110.69,19.39,1.91%,N/A,N/A,N/A,#VALUE!,"14,618",#VALUE!,
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
롯데리츠,"14,092억원",76.56,68.44,19.39,2.74%,N/A,N/A,N/A,#VALUE!,"14,092",#VALUE!,
NHN,"13,807억원",11.82,56.33,38.71,N/A,"13,599.40","7,197.00","5,964.00","12,366.40","13,807",FALSE,
대덕전자,"13,787억원",22.8,13.37,20.84,1.08%,N/A,N/A,N/A,#VALUE!,"13,787",#VALUE!,
더존비즈온,"13,915억원",26.83,42.15,48.3,0.98%,"2,250.60","3,853.70",413.4,"-1,189.70","13,915",FALSE,108.55%
한국앤컴퍼니,"13,766억원",6.95,7.88,13.5,4.14%,"6,303.40","2,420.30",762.2,"4,645.30","13,766",FALSE,66.26%
PI첨단소재,"13,509억원",21.11,35.91,8.63,2.37%,N/A,N/A,N/A,#VALUE!,"13,509",#VALUE!,
티와이홀딩스,"13,471억원",7.59,8.75,8.41,N/A,N/A,N/A,N/A,#VALUE!,"13,471",#VALUE!,
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
LX인터내셔널,"13,488억원",3.85,11.01,6.03,6.61%,"43,765.50","34,309.50","8,418.80","17,874.80","13,488",TRUE,-32.52%
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
LS ELECTRIC,"13,290억원",15.68,17.5,19.54,2.26%,"18,877.50","8,453.00","7,016.00","17,440.50","13,290",TRUE,-31.23%
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
현대두산인프라코어,"12,893억원",2.86,7.12,18.92,N/A,"32,398.40","27,687.70","5,453.80","10,164.50","12,893",FALSE,
롯데관광개발,"12,910억원",N/A,146.77,N/A,N/A,914.8,"2,404.50",606.9,-882.80,"12,910",FALSE,
DL,"12,909억원",1.48,5.13,8.63,3.08%,"25,127.30","14,609.30","17,561.90","28,079.90","12,909",TRUE,-117.52%
